City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
330,Vaini,TO,-21.2,-175.2,82.56,83,75,10.36,broken clouds
331,Knysna,ZA,-34.0363,23.0471,56.66,81,24,5.08,few clouds
332,Altamira,BR,-3.2033,-52.2064,72.5,98,100,2.08,overcast clouds
333,Tiznit,MA,29.5833,-9.5,66.74,34,0,2.66,clear sky
334,Touros,BR,-5.1989,-35.4608,79.56,78,90,13.31,overcast clouds
335,Bulawayo,ZW,-20.15,28.5833,58.53,55,18,4.41,few clouds
336,Buala,SB,-8.145,159.5921,84.06,72,100,2.51,light rain
337,Haines Junction,CA,60.7522,-137.5108,46.35,36,97,6.91,overcast clouds
338,Guiberoua,CI,6.2392,-6.1727,71.76,97,100,0.65,overcast clouds
339,Constitucion,CL,-35.3333,-72.4167,51.91,65,0,6.93,clear sky
340,Zhezkazgan,KZ,47.8043,67.7144,55.38,71,0,4.47,clear sky
341,Sola,VU,-13.8833,167.55,81.91,71,100,4.72,moderate rain
